Year,Value,Type,Model,Sheet
2031,32781.01570131172,Forecast,Exponential Smoothing,OilSeeds
2032,33328.81367660245,Forecast,Exponential Smoothing,OilSeeds
2033,33167.04235677278,Forecast,Exponential Smoothing,OilSeeds
2034,33235.999886580146,Forecast,Exponential Smoothing,OilSeeds
2035,34028.876270466615,Forecast,Exponential Smoothing,OilSeeds
2036,34576.674245757335,Forecast,Exponential Smoothing,OilSeeds
2037,34414.902925927665,Forecast,Exponential Smoothing,OilSeeds
2038,34483.86045573504,Forecast,Exponential Smoothing,OilSeeds
2039,35276.73683962151,Forecast,Exponential Smoothing,OilSeeds
2040,35824.53481491223,Forecast,Exponential Smoothing,OilSeeds
2041,35662.76349508256,Forecast,Exponential Smoothing,OilSeeds
2042,35731.72102488993,Forecast,Exponential Smoothing,OilSeeds
2043,36524.5974087764,Forecast,Exponential Smoothing,OilSeeds
2044,37072.395384067124,Forecast,Exponential Smoothing,OilSeeds
2045,36910.624064237454,Forecast,Exponential Smoothing,OilSeeds
2046,36979.58159404482,Forecast,Exponential Smoothing,OilSeeds
2047,37772.45797793129,Forecast,Exponential Smoothing,OilSeeds
2048,38320.25595322201,Forecast,Exponential Smoothing,OilSeeds
2049,38158.48463339234,Forecast,Exponential Smoothing,OilSeeds
2050,38227.44216319972,Forecast,Exponential Smoothing,OilSeeds
2051,39020.318547086186,Forecast,Exponential Smoothing,OilSeeds
1949,20200.0,Historical,-,Pulses
1950,19091.0,Historical,-,Pulses
1951,18775.0,Historical,-,Pulses
1952,19845.0,Historical,-,Pulses
1953,21729.0,Historical,-,Pulses
1954,21914.0,Historical,-,Pulses
1955,23216.0,Historical,-,Pulses
1956,23316.0,Historical,-,Pulses
1957,22538.0,Historical,-,Pulses
1958,24311.0,Historical,-,Pulses
1959,24833.0,Historical,-,Pulses
1960,23563.0,Historical,-,Pulses
1961,24243.0,Historical,-,Pulses
1962,24265.0,Historical,-,Pulses
1963,24186.0,Historical,-,Pulses
1964,23875.0,Historical,-,Pulses
1965,22717.0,Historical,-,Pulses
1966,22121.0,Historical,-,Pulses
1967,22649.0,Historical,-,Pulses
1968,21264.0,Historical,-,Pulses
1969,22023.0,Historical,-,Pulses
1970,22534.0,Historical,-,Pulses
1971,22151.0,Historical,-,Pulses
1972,20915.0,Historical,-,Pulses
1973,23427.0,Historical,-,Pulses
1974,22024.0,Historical,-,Pulses
1975,24454.0,Historical,-,Pulses
1976,22983.0,Historical,-,Pulses
1977,23497.0,Historical,-,Pulses
1978,23657.0,Historical,-,Pulses
1979,22259.0,Historical,-,Pulses
1980,22457.0,Historical,-,Pulses
1981,23843.0,Historical,-,Pulses
1982,22833.0,Historical,-,Pulses
1983,23542.0,Historical,-,Pulses
1984,22737.0,Historical,-,Pulses
1985,24418.0,Historical,-,Pulses
1986,23156.0,Historical,-,Pulses
1987,21559.0,Historical,-,Pulses
1988,23146.0,Historical,-,Pulses
1989,23415.0,Historical,-,Pulses
1990,24662.0,Historical,-,Pulses
1991,22543.0,Historical,-,Pulses
1992,22360.0,Historical,-,Pulses
1993,22250.0,Historical,-,Pulses
1994,23028.0,Historical,-,Pulses
1995,22283.0,Historical,-,Pulses
1996,22447.0,Historical,-,Pulses
1997,22871.0,Historical,-,Pulses
1998,23501.0,Historical,-,Pulses
1999,21116.0,Historical,-,Pulses
2000,20348.0,Historical,-,Pulses
2001,22008.0,Historical,-,Pulses
2002,20496.0,Historical,-,Pulses
2003,23458.0,Historical,-,Pulses
2004,22763.0,Historical,-,Pulses
2005,22391.0,Historical,-,Pulses
2006,22392.0,Historical,-,Pulses
2007,23633.0,Historical,-,Pulses
2008,22094.0,Historical,-,Pulses
2009,23282.0,Historical,-,Pulses
2010,26407.0,Historical,-,Pulses
2011,24462.0,Historical,-,Pulses
2012,23257.0,Historical,-,Pulses
2013,25220.0,Historical,-,Pulses
2014,23553.0,Historical,-,Pulses
2015,24911.0,Historical,-,Pulses
2016,29445.0,Historical,-,Pulses
2017,29813.0,Historical,-,Pulses
2018,29156.0,Historical,-,Pulses
2019,27987.0,Historical,-,Pulses
2020,28783.0,Historical,-,Pulses
2021,30731.0,Historical,-,Pulses
2022,28901.0,Historical,-,Pulses
2023,27505.0,Historical,-,Pulses
2024,27852.282900436592,Forecast,ARIMA,Pulses
2025,27892.18803457708,Forecast,ARIMA,Pulses
2026,27896.77340209379,Forecast,ARIMA,Pulses
2027,27897.30029157095,Forecast,ARIMA,Pulses
2028,27897.3608347052,Forecast,ARIMA,Pulses
2029,27897.36779151733,Forecast,ARIMA,Pulses
2030,27897.368590901693,Forecast,ARIMA,Pulses
2031,27897.368682756318,Forecast,ARIMA,Pulses
2032,27897.36869331103,Forecast,ARIMA,Pulses
2033,27897.368694523837,Forecast,ARIMA,Pulses
2034,27897.368694663197,Forecast,ARIMA,Pulses
2035,27897.36869467921,Forecast,ARIMA,Pulses
2036,27897.368694681052,Forecast,ARIMA,Pulses
2037,27897.368694681263,Forecast,ARIMA,Pulses
2038,27897.36869468129,Forecast,ARIMA,Pulses
2039,27897.368694681292,Forecast,ARIMA,Pulses
2040,27897.368694681292,Forecast,ARIMA,Pulses
2041,27897.368694681292,Forecast,ARIMA,Pulses
2042,27897.368694681292,Forecast,ARIMA,Pulses
2043,27897.368694681292,Forecast,ARIMA,Pulses
2044,27897.368694681292,Forecast,ARIMA,Pulses
2045,27897.368694681292,Forecast,ARIMA,Pulses
2046,27897.368694681292,Forecast,ARIMA,Pulses
2047,27897.368694681292,Forecast,ARIMA,Pulses
2048,27897.368694681292,Forecast,ARIMA,Pulses
2049,27897.368694681292,Forecast,ARIMA,Pulses
2050,27897.368694681292,Forecast,ARIMA,Pulses
2051,27897.368694681292,Forecast,ARIMA,Pulses
2024,27532.53738522957,Forecast,Auto ARIMA,Pulses
2025,27825.595411126546,Forecast,Auto ARIMA,Pulses
2026,27303.68690400579,Forecast,Auto ARIMA,Pulses
2027,27484.672351728612,Forecast,Auto ARIMA,Pulses
2028,27710.1803104446,Forecast,Auto ARIMA,Pulses
2029,27489.265646694832,Forecast,Auto ARIMA,Pulses
2030,27882.693678586573,Forecast,Auto ARIMA,Pulses
2031,27746.262201561116,Forecast,Auto ARIMA,Pulses
2032,27576.268512699808,Forecast,Auto ARIMA,Pulses
2033,27742.79965788957,Forecast,Auto ARIMA,Pulses
2034,27446.22350677043,Forecast,Auto ARIMA,Pulses
2035,27549.069056827328,Forecast,Auto ARIMA,Pulses
2036,27677.214663825926,Forecast,Auto ARIMA,Pulses
2037,27551.679211142593,Forecast,Auto ARIMA,Pulses
2038,27775.245928007458,Forecast,Auto ARIMA,Pulses
2039,27697.718311968147,Forecast,Auto ARIMA,Pulses
2040,27601.118863464875,Forecast,Auto ARIMA,Pulses
2041,27695.75071063347,Forecast,Auto ARIMA,Pulses
2042,27527.220379718034,Forecast,Auto ARIMA,Pulses
2043,27585.662687094617,Forecast,Auto ARIMA,Pulses
2044,27658.481831423447,Forecast,Auto ARIMA,Pulses
2045,27587.145915495934,Forecast,Auto ARIMA,Pulses
2046,27714.188405705398,Forecast,Auto ARIMA,Pulses
2047,27670.13309398567,Forecast,Auto ARIMA,Pulses
2048,27615.240153467454,Forecast,Auto ARIMA,Pulses
2049,27669.01499833708,Forecast,Auto ARIMA,Pulses
2050,27573.247107590338,Forecast,Auto ARIMA,Pulses
2051,27606.457132619224,Forecast,Auto ARIMA,Pulses
2023,28286.7460877803,Forecast,Prophet,Pulses
2024,28362.144363901098,Forecast,Prophet,Pulses
2025,29245.584687705283,Forecast,Prophet,Pulses
2026,29295.979311374787,Forecast,Prophet,Pulses
2027,29358.74982538922,Forecast,Prophet,Pulses
2028,29434.14810150824,Forecast,Prophet,Pulses
2029,30317.588425312435,Forecast,Prophet,Pulses
2030,30367.983048984166,Forecast,Prophet,Pulses
2031,30430.75356299719,Forecast,Prophet,Pulses
2032,30506.151839116686,Forecast,Prophet,Pulses
2033,31389.59216292196,Forecast,Prophet,Pulses
2034,31439.986786589543,Forecast,Prophet,Pulses
2035,31502.757300606158,Forecast,Prophet,Pulses
2036,31578.155576722744,Forecast,Prophet,Pulses
2037,32461.59590052768,Forecast,Prophet,Pulses
2038,32511.990524199085,Forecast,Prophet,Pulses
2039,32574.76103821626,Forecast,Prophet,Pulses
2040,32650.15931433207,Forecast,Prophet,Pulses
2041,33533.59963813608,Forecast,Prophet,Pulses
2042,33583.99426180788,Forecast,Prophet,Pulses
2043,33646.76477582109,Forecast,Prophet,Pulses
2044,33722.16305194108,Forecast,Prophet,Pulses
2045,34605.60337574659,Forecast,Prophet,Pulses
2046,34655.99799941387,Forecast,Prophet,Pulses
2047,34718.768513429844,Forecast,Prophet,Pulses
2048,34794.1667895509,Forecast,Prophet,Pulses
2049,35677.60711335155,Forecast,Prophet,Pulses
2050,35728.00173702356,Forecast,Prophet,Pulses
